sex;salary-class;race;workclass;marital-status;occupation
Male;<=50K;White;State-gov;Never-married;Adm-clerical
Male;<=50K;White;Self-emp-not-inc;Married-civ-spouse;Exec-managerial
Male;<=50K;White;Private;Divorced;Handlers-cleaners
Male;<=50K;Black;Private;Married-civ-spouse;Handlers-cleaners
Female;<=50K;Black;Private;Married-civ-spouse;Prof-specialty
Female;<=50K;White;Private;Married-civ-spouse;Exec-managerial
Female;<=50K;Black;Private;Married-spouse-absent;Other-service
Male;>50K;White;Self-emp-not-inc;Married-civ-spouse;Exec-managerial
Female;>50K;White;Private;Never-married;Prof-specialty
Male;>50K;White;Private;Married-civ-spouse;Exec-managerial
Male;>50K;Black;Private;Married-civ-spouse;Exec-managerial
Male;>50K;Asian-Pac-Islander;State-gov;Married-civ-spouse;Prof-specialty
Female;<=50K;White;Private;Never-married;Adm-clerical
Male;<=50K;Black;Private;Never-married;Sales
Male;<=50K;Amer-Indian-Eskimo;Private;Married-civ-spouse;Transport-moving
Male;<=50K;White;Self-emp-not-inc;Never-married;Farming-fishing
Male;<=50K;White;Private;Never-married;Machine-op-inspct
Male;<=50K;White;Private;Married-civ-spouse;Sales
Female;>50K;White;Self-emp-not-inc;Divorced;Exec-managerial
Male;>50K;White;Private;Married-civ-spouse;Prof-specialty
Female;<=50K;Black;Private;Separated;Other-service
Male;<=50K;Black;Federal-gov;Married-civ-spouse;Farming-fishing
Male;<=50K;White;Private;Married-civ-spouse;Transport-moving
Female;<=50K;White;Private;Divorced;Tech-support
Male;>50K;White;Local-gov;Married-civ-spouse;Tech-support
Male;<=50K;White;Private;Never-married;Craft-repair
Male;<=50K;White;Private;Divorced;Exec-managerial
Male;<=50K;White;Private;Married-civ-spouse;Craft-repair
Male;<=50K;White;Local-gov;Never-married;Protective-serv
Male;<=50K;Black;Private;Never-married;Sales
Male;<=50K;White;Private;Divorced;Exec-managerial
Male;<=50K;White;Federal-gov;Married-civ-spouse;Adm-clerical
Male;<=50K;Black;State-gov;Married-civ-spouse;Other-service
Male;<=50K;White;Private;Never-married;Machine-op-inspct
Male;<=50K;White;Private;Never-married;Machine-op-inspct
Female;<=50K;White;Private;Married-AF-spouse;Adm-clerical
Male;<=50K;White;Self-emp-not-inc;Married-civ-spouse;Prof-specialty
Male;<=50K;White;Private;Married-civ-spouse;Machine-op-inspct
Male;<=50K;White;Self-emp-not-inc;Married-civ-spouse;Prof-specialty
Male;<=50K;White;Private;Married-civ-spouse;Tech-support
Female;<=50K;White;Private;Separated;Adm-clerical
Male;<=50K;White;Private;Never-married;Handlers-cleaners
Male;>50K;Black;Federal-gov;Married-civ-spouse;Prof-specialty
Male;<=50K;White;Private;Married-civ-spouse;Machine-op-inspct
Female;<=50K;White;Private;Divorced;Exec-managerial
Male;<=50K;White;State-gov;Married-civ-spouse;Craft-repair
Male;<=50K;White;Private;Never-married;Prof-specialty
Female;<=50K;Other;Private;Married-civ-spouse;Exec-managerial
Female;>50K;White;Private;Married-civ-spouse;Prof-specialty
Male;>50K;White;Federal-gov;Divorced;Exec-managerial
Male;<=50K;White;Self-emp-inc;Divorced;Exec-managerial
Male;>50K;White;Private;Married-civ-spouse;Tech-support
Male;<=50K;White;Private;Married-civ-spouse;Machine-op-inspct
Male;<=50K;White;Private;Married-civ-spouse;Other-service
Male;<=50K;White;Private;Married-civ-spouse;Adm-clerical
Male;<=50K;White;Private;Married-civ-spouse;Machine-op-inspct
Male;<=50K;White;Private;Married-civ-spouse;Sales
Male;<=50K;White;Private;Married-civ-spouse;Transport-moving
Male;>50K;White;Private;Married-civ-spouse;Prof-specialty
Male;<=50K;White;Private;Divorced;Tech-support
Male;<=50K;White;Private;Married-civ-spouse;Craft-repair
Female;<=50K;White;Private;Divorced;Adm-clerical
Female;>50K;White;Private;Married-civ-spouse;Adm-clerical
Male;>50K;White;Self-emp-inc;Married-civ-spouse;Exec-managerial
Male;<=50K;White;Private;Never-married;Prof-specialty
Female;<=50K;Black;Private;Separated;Sales
Male;>50K;White;Self-emp-not-inc;Married-civ-spouse;Sales
Male;<=50K;White;Private;Never-married;Machine-op-inspct
Male;<=50K;White;Private;Married-civ-spouse;Prof-specialty
Male;<=50K;White;Private;Never-married;Other-service
Male;<=50K;White;Private;Married-civ-spouse;Adm-clerical
Female;<=50K;White;Private;Never-married;Other-service
Male;<=50K;White;Local-gov;Married-civ-spouse;Farming-fishing
Male;<=50K;White;Private;Never-married;Sales
