sex;salary-class;race;workclass;marital-status;occupation;education
Male;<=50K;White;State-gov;Never-married;Adm-clerical;Bachelors
Male;<=50K;White;Self-emp-not-inc;Married-civ-spouse;Exec-managerial;Bachelors
Male;<=50K;White;Private;Divorced;Handlers-cleaners;HS-grad
Male;<=50K;Black;Private;Married-civ-spouse;Handlers-cleaners;11th
Female;<=50K;Black;Private;Married-civ-spouse;Prof-specialty;Bachelors
Female;<=50K;White;Private;Married-civ-spouse;Exec-managerial;Masters
Female;<=50K;Black;Private;Married-spouse-absent;Other-service;9th
Male;>50K;White;Self-emp-not-inc;Married-civ-spouse;Exec-managerial;HS-grad
Female;>50K;White;Private;Never-married;Prof-specialty;Masters
Male;>50K;White;Private;Married-civ-spouse;Exec-managerial;Bachelors
Male;>50K;Black;Private;Married-civ-spouse;Exec-managerial;Some-college
Male;>50K;Asian-Pac-Islander;State-gov;Married-civ-spouse;Prof-specialty;Bachelors
Female;<=50K;White;Private;Never-married;Adm-clerical;Bachelors
Male;<=50K;Black;Private;Never-married;Sales;Assoc-acdm
Male;<=50K;Amer-Indian-Eskimo;Private;Married-civ-spouse;Transport-moving;7th-8th
Male;<=50K;White;Self-emp-not-inc;Never-married;Farming-fishing;HS-grad
Male;<=50K;White;Private;Never-married;Machine-op-inspct;HS-grad
Male;<=50K;White;Private;Married-civ-spouse;Sales;11th
Female;>50K;White;Self-emp-not-inc;Divorced;Exec-managerial;Masters
Male;>50K;White;Private;Married-civ-spouse;Prof-specialty;Doctorate
Female;<=50K;Black;Private;Separated;Other-service;HS-grad
Male;<=50K;Black;Federal-gov;Married-civ-spouse;Farming-fishing;9th
Male;<=50K;White;Private;Married-civ-spouse;Transport-moving;11th
Female;<=50K;White;Private;Divorced;Tech-support;HS-grad
Male;>50K;White;Local-gov;Married-civ-spouse;Tech-support;Bachelors
Male;<=50K;White;Private;Never-married;Craft-repair;HS-grad
Male;<=50K;White;Private;Divorced;Exec-managerial;HS-grad
Male;<=50K;White;Private;Married-civ-spouse;Craft-repair;HS-grad
Male;<=50K;White;Local-gov;Never-married;Protective-serv;Assoc-acdm
