sex;salary-class;race;workclass;marital-status;occupation;education;native-country
Male;<=50K;White;State-gov;Never-married;Adm-clerical;Bachelors;United-States
Male;<=50K;White;Self-emp-not-inc;Married-civ-spouse;Exec-managerial;Bachelors;United-States
Male;<=50K;White;Private;Divorced;Handlers-cleaners;HS-grad;United-States
Male;<=50K;Black;Private;Married-civ-spouse;Handlers-cleaners;11th;United-States
Female;<=50K;Black;Private;Married-civ-spouse;Prof-specialty;Bachelors;Cuba
Female;<=50K;White;Private;Married-civ-spouse;Exec-managerial;Masters;United-States
Female;<=50K;Black;Private;Married-spouse-absent;Other-service;9th;Jamaica
Male;>50K;White;Self-emp-not-inc;Married-civ-spouse;Exec-managerial;HS-grad;United-States
Female;>50K;White;Private;Never-married;Prof-specialty;Masters;United-States
Male;>50K;White;Private;Married-civ-spouse;Exec-managerial;Bachelors;United-States
Male;>50K;Black;Private;Married-civ-spouse;Exec-managerial;Some-college;United-States
Male;>50K;Asian-Pac-Islander;State-gov;Married-civ-spouse;Prof-specialty;Bachelors;India
Female;<=50K;White;Private;Never-married;Adm-clerical;Bachelors;United-States
Male;<=50K;Black;Private;Never-married;Sales;Assoc-acdm;United-States
Male;<=50K;Amer-Indian-Eskimo;Private;Married-civ-spouse;Transport-moving;7th-8th;Mexico
Male;<=50K;White;Self-emp-not-inc;Never-married;Farming-fishing;HS-grad;United-States
Male;<=50K;White;Private;Never-married;Machine-op-inspct;HS-grad;United-States
Male;<=50K;White;Private;Married-civ-spouse;Sales;11th;United-States
Female;>50K;White;Self-emp-not-inc;Divorced;Exec-managerial;Masters;United-States
Male;>50K;White;Private;Married-civ-spouse;Prof-specialty;Doctorate;United-States
Female;<=50K;Black;Private;Separated;Other-service;HS-grad;United-States
Male;<=50K;Black;Federal-gov;Married-civ-spouse;Farming-fishing;9th;United-States
Male;<=50K;White;Private;Married-civ-spouse;Transport-moving;11th;United-States
Female;<=50K;White;Private;Divorced;Tech-support;HS-grad;United-States
Male;>50K;White;Local-gov;Married-civ-spouse;Tech-support;Bachelors;United-States
Male;<=50K;White;Private;Never-married;Craft-repair;HS-grad;United-States
Male;<=50K;White;Private;Divorced;Exec-managerial;HS-grad;United-States
Male;<=50K;White;Private;Married-civ-spouse;Craft-repair;HS-grad;United-States
Male;<=50K;White;Local-gov;Never-married;Protective-serv;Assoc-acdm;United-States
Male;<=50K;Black;Private;Never-married;Sales;Some-college;United-States
Male;<=50K;White;Private;Divorced;Exec-managerial;Bachelors;United-States
Male;<=50K;White;Federal-gov;Married-civ-spouse;Adm-clerical;Some-college;United-States
Male;<=50K;Black;State-gov;Married-civ-spouse;Other-service;Some-college;United-States
Male;<=50K;White;Private;Never-married;Machine-op-inspct;11th;Puerto-Rico
Male;<=50K;White;Private;Never-married;Machine-op-inspct;Some-college;United-States
