sex;salary-class;race;workclass;marital-status;occupation;education;native-country;age
Male;<=50K;White;State-gov;Never-married;Adm-clerical;Bachelors;United-States;20-39
Male;<=50K;White;Self-emp-not-inc;Married-civ-spouse;Exec-managerial;Bachelors;United-States;40-49
Male;<=50K;White;Private;Divorced;Handlers-cleaners;High-School;United-States;35-39
Male;<=50K;Black;Private;Married-civ-spouse;Handlers-cleaners;High-School;United-States;*
Female;<=50K;Black;*;Married-civ-spouse;Technical;Higher-education;North-America;*
Female;<=50K;White;Private;Married-civ-spouse;Exec-managerial;Higher-education;United-States;20-39
Female;<=50K;Black;Private;spouse-not-present;Other-service;High-School;North-America;*
Male;>50K;White;Self-emp-not-inc;Married-civ-spouse;Exec-managerial;HS-grad;United-States;50-59
Female;>50K;White;Private;Never-married;Prof-specialty;Masters;United-States;20-39
Male;>50K;White;Private;Married-civ-spouse;Exec-managerial;Bachelors;United-States;42
Male;>50K;Black;Private;Married-civ-spouse;Nontechnical;Higher-education;North-America;30-39
Male;>50K;Asian-Pac-Islander;State-gov;Married-civ-spouse;Prof-specialty;Higher-education;Asia;*
Female;<=50K;White;Private;Never-married;Adm-clerical;Bachelors;United-States;23
Male;<=50K;Black;Private;Never-married;Sales;Higher-education;North-America;20-39
Male;<=50K;Amer-Indian-Eskimo;Private;*;Other;High-School;North-America;*
Male;<=50K;White;Self-emp-not-inc;Never-married;Farming-fishing;HS-grad;United-States;20-29
Male;<=50K;White;Private;Never-married;Machine-op-inspct;HS-grad;United-States;30-34
Male;<=50K;White;Private;Married-civ-spouse;Sales;11th;United-States;20-39
Female;>50K;White;Non-Government;Divorced;*;Higher-education;United-States;40-59
Male;>50K;White;Private;Married-civ-spouse;Prof-specialty;Doctorate;United-States;35-39
Female;<=50K;Black;Private;Separated;Other-service;HS-grad;United-States;40-59
Male;<=50K;Black;Government;Married-civ-spouse;Other;High-School;United-States;*
Male;<=50K;White;Private;Married-civ-spouse;Transport-moving;11th;United-States;40-49
Female;<=50K;White;Private;Divorced;Tech-support;HS-grad;United-States;40-59
Male;>50K;White;Local-gov;Married-civ-spouse;Tech-support;Undergraduate;United-States;*
Male;<=50K;White;Private;Never-married;Craft-repair;HS-grad;United-States;19
Male;<=50K;White;Private;Divorced;Exec-managerial;HS-grad;United-States;35-39
Male;<=50K;White;Private;Married-civ-spouse;Craft-repair;HS-grad;United-States;49
Male;<=50K;White;Local-gov;Never-married;Protective-serv;Higher-education;United-States;20-39
Male;<=50K;Black;Private;Never-married;Sales;Some-college;United-States;*
Male;<=50K;White;Private;Divorced;Exec-managerial;Bachelors;United-States;40-59
Male;<=50K;White;Federal-gov;Married-civ-spouse;Other;Some-college;United-States;20-39
Male;<=50K;Black;State-gov;Married-civ-spouse;Other;Higher-education;United-States;20-39
Male;<=50K;White;Private;Never-married;Machine-op-inspct;High-School;North-America;*
Male;<=50K;White;Private;Never-married;Machine-op-inspct;Some-college;United-States;20-24
Female;<=50K;White;Non-Government;spouse-present;Other;High-School;*;*
Male;<=50K;White;Self-emp-not-inc;Married-civ-spouse;Prof-specialty;Professional-Education;United-States;40-59
Male;<=50K;White;Private;Married-civ-spouse;Machine-op-inspct;9th;United-States;20-39
Male;<=50K;White;Self-emp-not-inc;Married-civ-spouse;Prof-specialty;Higher-education;United-States;*
Male;<=50K;White;Private;Married-civ-spouse;Tech-support;Bachelors;United-States;20-29
Female;<=50K;White;Private;Separated;Adm-clerical;HS-grad;United-States;40-49
Male;<=50K;White;Private;Never-married;Handlers-cleaners;HS-grad;United-States;25
Male;>50K;Black;Government;Married-civ-spouse;Technical;Higher-education;United-States;40-59
Male;<=50K;White;Private;Married-civ-spouse;Machine-op-inspct;HS-grad;United-States;53
Female;<=50K;White;Private;Divorced;Exec-managerial;Masters;United-States;40-49
Male;<=50K;White;State-gov;Married-civ-spouse;Craft-repair;Higher-education;United-States;*
Male;<=50K;White;Private;Never-married;Prof-specialty;Assoc-voc;United-States;20-39
Female;<=50K;*;Private;Married-civ-spouse;*;Higher-education;North-America;*
Female;>50K;White;Private;Married-civ-spouse;Prof-specialty;Professional-Education;North-America;40-59
Male;>50K;White;Government;Divorced;Exec-managerial;Undergraduate;United-States;40-49
Male;<=50K;White;Self-emp-inc;Divorced;Nontechnical;HS-grad;United-States;40-59
Male;>50K;White;Private;Married-civ-spouse;Tech-support;Some-college;United-States;40-44
Male;<=50K;White;Private;Married-civ-spouse;Machine-op-inspct;5th-6th;Mexico;40-59
Male;<=50K;White;Private;Married-civ-spouse;Other-service;Higher-education;North-America;30-39
Male;<=50K;White;Private;Married-civ-spouse;Adm-clerical;HS-grad;United-States;40-44
Male;<=50K;White;Private;Married-civ-spouse;Machine-op-inspct;HS-grad;United-States;30
Male;<=50K;White;Private;Married-civ-spouse;Sales;Bachelors;United-States;25-29
Male;<=50K;White;Private;Married-civ-spouse;Transport-moving;HS-grad;United-States;45-49
Male;>50K;White;Private;Married-civ-spouse;Prof-specialty;Doctorate;United-States;40-44
Male;<=50K;White;Private;Divorced;Tech-support;Undergraduate;United-States;20-39
Male;<=50K;White;Private;Married-civ-spouse;Craft-repair;HS-grad;United-States;36
Female;<=50K;White;Private;Divorced;Adm-clerical;Some-college;United-States;25-29
Female;>50K;White;Non-Government;Married-civ-spouse;Adm-clerical;HS-grad;United-States;40-59
Male;>50K;White;Self-emp-inc;Married-civ-spouse;Exec-managerial;Some-college;United-States;45-49
Male;<=50K;White;Private;Never-married;Technical;Some-college;United-States;15-19
Female;<=50K;Black;Private;Separated;Nontechnical;Undergraduate;United-States;20-39
Male;>50K;White;Self-emp-not-inc;Married-civ-spouse;Sales;Higher-education;United-States;20-39
Male;<=50K;White;Private;Never-married;Machine-op-inspct;Some-college;United-States;23
Male;<=50K;White;Private;Married-civ-spouse;Prof-specialty;Some-college;United-States;60-79
Male;<=50K;White;Private;Never-married;Other-service;HS-grad;Mexico;20-29
Male;<=50K;White;Private;Married-civ-spouse;Adm-clerical;Assoc-acdm;United-States;20-39
Female;<=50K;White;Private;Never-married;Other-service;11th;United-States;18
Male;<=50K;White;Local-gov;Married-civ-spouse;Farming-fishing;High-School;United-States;*
Male;<=50K;White;Private;Never-married;Sales;High-School;United-States;18
Male;<=50K;White;Private;Married-civ-spouse;Other-service;Bachelors;North-America;40-59
Female;<=50K;White;Private;Married-civ-spouse;Other-service;HS-grad;United-States;40-49
Male;<=50K;White;Private;Married-civ-spouse;Sales;HS-grad;United-States;55-59
