sex;salary-class;race;workclass;marital-status;occupation;education;native-country;age
*;<=50K;White;Government;spouse-not-present;Adm-clerical;Bachelors;United-States;39
Male;<=50K;White;Self-emp-not-inc;Married-civ-spouse;Exec-managerial;Bachelors;United-States;50
Male;<=50K;*;Private;spouse-not-present;Handlers-cleaners;HS-grad;United-States;38
Male;<=50K;*;Private;Married-civ-spouse;Handlers-cleaners;High-School;United-States;53
Female;*;*;Private;Married-civ-spouse;*;Bachelors;Cuba;25-29
*;*;White;Non-Government;Married-civ-spouse;Exec-managerial;Masters;United-States;37
Female;<=50K;Black;Private;spouse-not-present;Other-service;High-School;Jamaica;45-49
*;>50K;White;Non-Government;Married-civ-spouse;Exec-managerial;HS-grad;United-States;52
*;*;White;Private;Never-married;Prof-specialty;Masters;United-States;31
Male;>50K;White;Private;Married-civ-spouse;Exec-managerial;Bachelors;United-States;42
Male;*;*;Private;Married-civ-spouse;Exec-managerial;Some-college;United-States;37
Male;>50K;Asian-Pac-Islander;*;Married-civ-spouse;Prof-specialty;Higher-education;India;30
Female;<=50K;White;Private;Never-married;Adm-clerical;Bachelors;United-States;23
Male;<=50K;*;Non-Government;Never-married;Sales;Assoc-acdm;United-States;32
Male;*;*;Non-Government;Married-civ-spouse;Transport-moving;High-School;Mexico;34
Male;<=50K;White;Self-emp-not-inc;Never-married;Farming-fishing;HS-grad;United-States;25
Male;<=50K;White;Private;Never-married;Machine-op-inspct;HS-grad;United-States;32
*;<=50K;White;Private;*;Sales;11th;United-States;38
Female;*;White;Self-emp-not-inc;spouse-not-present;Exec-managerial;Masters;United-States;43
Male;>50K;White;Private;Married-civ-spouse;Prof-specialty;Doctorate;United-States;40
*;<=50K;*;Private;spouse-not-present;Other-service;HS-grad;United-States;54
Male;<=50K;*;Government;*;Farming-fishing;High-School;United-States;35
Male;<=50K;White;Private;*;Transport-moving;11th;United-States;43
*;*;White;Private;Divorced;Tech-support;HS-grad;United-States;59
Male;>50K;White;*;Married-civ-spouse;Tech-support;Bachelors;United-States;56
Male;<=50K;White;Private;Never-married;Craft-repair;HS-grad;United-States;19
Male;<=50K;White;Private;Divorced;Exec-managerial;HS-grad;United-States;39
Male;<=50K;White;Private;Married-civ-spouse;Craft-repair;HS-grad;United-States;49
*;<=50K;White;Government;Never-married;Other;Assoc-acdm;United-States;23
Male;<=50K;Black;Private;Never-married;Sales;Some-college;United-States;20
Male;<=50K;White;Private;Divorced;Exec-managerial;Bachelors;United-States;45
Male;*;White;Government;Married-civ-spouse;Adm-clerical;Some-college;United-States;30
Male;<=50K;*;State-gov;Married-civ-spouse;Other-service;Some-college;United-States;22
*;<=50K;*;Private;spouse-not-present;Machine-op-inspct;*;Puerto-Rico;45-49
Male;<=50K;White;Private;Never-married;Machine-op-inspct;Some-college;United-States;21
Female;<=50K;*;Private;spouse-present;Other;HS-grad;United-States;19
*;*;White;Non-Government;Married-civ-spouse;Prof-specialty;Assoc-acdm;United-States;48
Male;<=50K;White;Private;*;Machine-op-inspct;9th;United-States;31
Male;<=50K;White;Self-emp-not-inc;Married-civ-spouse;Prof-specialty;Bachelors;United-States;53
Male;<=50K;White;Private;Married-civ-spouse;Technical;Bachelors;United-States;24
Female;<=50K;*;Private;spouse-not-present;Adm-clerical;HS-grad;United-States;49
Male;<=50K;White;Private;Never-married;Handlers-cleaners;HS-grad;United-States;25
Male;>50K;*;Federal-gov;Married-civ-spouse;Prof-specialty;Bachelors;United-States;57
Male;<=50K;White;Private;Married-civ-spouse;Machine-op-inspct;HS-grad;United-States;53
*;*;White;Private;Divorced;Exec-managerial;Masters;United-States;44
Male;*;White;*;Married-civ-spouse;Craft-repair;Assoc-voc;United-States;41
Male;<=50K;White;Private;spouse-not-present;Technical;Assoc-voc;United-States;29
Female;<=50K;*;Private;Married-civ-spouse;Exec-managerial;Some-college;United-States;25
*;*;White;Private;*;*;*;Honduras;47
*;>50K;White;Government;Divorced;Exec-managerial;Bachelors;United-States;50
*;<=50K;White;*;Divorced;Exec-managerial;HS-grad;United-States;47
*;*;*;Private;Married-civ-spouse;Tech-support;Some-college;United-States;43
Male;<=50K;White;Private;Married-civ-spouse;Machine-op-inspct;5th-6th;Mexico;46
Male;<=50K;White;Private;Married-civ-spouse;*;Professional-Education;Puerto-Rico;35
Male;<=50K;White;Private;Married-civ-spouse;Adm-clerical;HS-grad;United-States;41
Male;<=50K;White;Private;Married-civ-spouse;Machine-op-inspct;HS-grad;United-States;30
*;*;White;Private;Married-civ-spouse;Sales;Bachelors;United-States;30
Male;<=50K;White;Private;Married-civ-spouse;Transport-moving;HS-grad;United-States;48
