sex;salary-class;race;workclass;marital-status;occupation;education;native-country;age
Male;<=50K;White;*;*;Adm-clerical;Bachelors;United-States;39
Male;*;White;*;Married-civ-spouse;Exec-managerial;Bachelors;United-States;50
*;<=50K;White;Private;*;Handlers-cleaners;HS-grad;United-States;38
*;<=50K;*;Private;*;*;11th;United-States;53
*;<=50K;*;Private;Married-civ-spouse;Prof-specialty;Bachelors;*;28
*;*;*;Private;Married-civ-spouse;Exec-managerial;Masters;United-States;37
*;<=50K;Black;Private;*;Other-service;*;*;49
Male;>50K;White;Non-Government;Married-civ-spouse;Exec-managerial;HS-grad;United-States;52
*;*;*;*;Never-married;Prof-specialty;Masters;United-States;31
Male;>50K;White;Private;Married-civ-spouse;Exec-managerial;Bachelors;United-States;42
Male;*;*;Private;Married-civ-spouse;Exec-managerial;Some-college;United-States;37
Male;>50K;*;*;Married-civ-spouse;Prof-specialty;Bachelors;*;30
Female;<=50K;White;Private;Never-married;Adm-clerical;Bachelors;United-States;23
Male;<=50K;*;Private;*;*;Assoc-acdm;United-States;32
Male;<=50K;*;Private;Married-civ-spouse;*;*;Mexico;34
Male;<=50K;White;*;Never-married;*;HS-grad;United-States;25
*;<=50K;*;Private;Never-married;Machine-op-inspct;HS-grad;United-States;32
Male;*;White;Private;Married-civ-spouse;*;11th;United-States;38
*;>50K;White;*;*;Exec-managerial;Masters;United-States;43
*;>50K;*;Private;Married-civ-spouse;Prof-specialty;Doctorate;United-States;40
Female;<=50K;*;Private;*;Other-service;HS-grad;United-States;54
Male;<=50K;*;*;*;*;9th;United-States;35
Male;<=50K;White;*;Married-civ-spouse;*;11th;United-States;43
Female;<=50K;White;Private;Divorced;*;HS-grad;United-States;59
Male;>50K;White;*;Married-civ-spouse;*;Bachelors;United-States;56
Male;<=50K;White;Private;Never-married;Craft-repair;HS-grad;United-States;19
*;<=50K;White;Private;*;Exec-managerial;HS-grad;United-States;39
Male;<=50K;White;Private;Married-civ-spouse;Craft-repair;HS-grad;United-States;49
Male;<=50K;White;*;Never-married;*;Assoc-acdm;United-States;23
Male;*;*;Private;Never-married;Sales;Some-college;United-States;20
*;<=50K;*;*;Divorced;Exec-managerial;Bachelors;United-States;45
