QIs,k,metric,QI,gen. intensity,granularity,n.u. entropy,sq. err.
9,2,Non-Uniform Entropy,sex,0.9620714806710431,0.9620714806710431,0.9582750376469393,0.9620714806710431
9,2,Non-Uniform Entropy,salary-class,0.9401233339964193,0.9401233339964192,0.926038546137061,0.9401233339964193
9,2,Non-Uniform Entropy,race,0.926795305351104,0.9267953053512512,0.8077151238102971,0.937115672702736
9,2,Non-Uniform Entropy,workclass,0.8297526689211591,0.8562382183826385,0.6788766506643911,0.9044762880062929
9,2,Non-Uniform Entropy,marital-status,0.7785126980969432,0.760194947284774,0.6929090378802045,0.7809448119199744
9,2,Non-Uniform Entropy,occupation,0.8777766726344407,0.8964642214095684,0.8619571964465063,0.8741814595590627
9,2,Non-Uniform Entropy,education,0.9464447538845795,0.9578233096832659,0.9107315991030216,0.9504947136291417
9,2,Non-Uniform Entropy,native-country,0.9893243153637027,0.993570552350655,0.9182367229454752,0.9896951078837476
9,2,Non-Uniform Entropy,age,0.9931039055765533,0.9983000886124072,0.9907032950796013,0.9992548934699882
9,3,Non-Uniform Entropy,sex,0.9517936476360984,0.9517936476360984,0.9470425878149915,0.9517936476360984
9,3,Non-Uniform Entropy,salary-class,0.9009681055632915,0.9009681055632917,0.8779229812224107,0.9009681055632915
9,3,Non-Uniform Entropy,race,0.8928784563357868,0.8928784563358819,0.7320583988118635,0.9050539172208336
9,3,Non-Uniform Entropy,workclass,0.7304223857834361,0.764495533642142,0.519835024067909,0.8324653004781416
9,3,Non-Uniform Entropy,marital-status,0.6559578277302567,0.633755498088194,0.5574855299832926,0.6569778283969236
9,3,Non-Uniform Entropy,occupation,0.7780651150454214,0.8025406395210064,0.7545870561911542,0.7721098798662249
9,3,Non-Uniform Entropy,education,0.916561678049643,0.9333421744800301,0.8608065147371765,0.9177730574528904
9,3,Non-Uniform Entropy,native-country,0.9796266825807307,0.9867490551024631,0.8464803726532089,0.9809692781966588
9,3,Non-Uniform Entropy,age,0.9888601551621246,0.997400234022479,0.985197650442378,0.9988820738338928
9,4,Non-Uniform Entropy,sex,0.946555268218288,0.9465552682182878,0.9412857334107235,0.946555268218288
9,4,Non-Uniform Entropy,salary-class,0.8745109740733373,0.8745109740733372,0.8454308704485145,0.8745109740733373
9,4,Non-Uniform Entropy,race,0.8652277700417744,0.865227770041803,0.6753581055822256,0.8785302942212452
9,4,Non-Uniform Entropy,workclass,0.6645945229096214,0.7021701857588072,0.4239999379443914,0.7793299741734511
9,4,Non-Uniform Entropy,marital-status,0.5771832106624228,0.5541078177840417,0.47959288164758185,0.575949786919818
9,4,Non-Uniform Entropy,occupation,0.7145912074796101,0.7415443783058462,0.6886100939648917,0.7106202011461256
9,4,Non-Uniform Entropy,education,0.8907786839953122,0.9108348252768383,0.8191820574772174,0.889983954618689
9,4,Non-Uniform Entropy,native-country,0.9754989722166965,0.9836134871693027,0.8173293768809895,0.9774402287069532
9,4,Non-Uniform Entropy,age,0.9860503282275711,0.9969029195207882,0.9818298325943431,0.998858133732227
9,5,Non-Uniform Entropy,sex,0.9410516543995756,0.9410516543995757,0.9351882367281941,0.9410516543995756
9,5,Non-Uniform Entropy,salary-class,0.862144420131291,0.8621444201312911,0.8301972461479005,0.862144420131291
9,5,Non-Uniform Entropy,race,0.8502751806909357,0.8502751806909341,0.6487650484619935,0.863341806746761
9,5,Non-Uniform Entropy,workclass,0.625687951727339,0.6642369301012627,0.3700214871912796,0.7475232559234221
9,5,Non-Uniform Entropy,marital-status,0.5243021019826272,0.5020666180403788,0.4296720355734759,0.5234588451742501
9,5,Non-Uniform Entropy,occupation,0.6543995756249585,0.6825603280744663,0.6265066123594469,0.6483789530717109
9,5,Non-Uniform Entropy,education,0.8709855668280152,0.8955241694847822,0.7885451160877495,0.8689578238350757
9,5,Non-Uniform Entropy,native-country,0.9687686492938135,0.9774343544857945,0.773649762654598,0.9717422300466416
9,5,Non-Uniform Entropy,age,0.9849396591737949,0.9963972327210892,0.9807428609791089,0.9984376225723216
9,6,Non-Uniform Entropy,sex,0.9323320734699291,0.932332073469929,0.9256434711012507,0.9323320734699291
9,6,Non-Uniform Entropy,salary-class,0.8513361182945428,0.8513361182945427,0.8167911858826862,0.8513361182945428
9,6,Non-Uniform Entropy,race,0.8393342616537365,0.8393342616537176,0.6283481733710854,0.8523249546976519
9,6,Non-Uniform Entropy,workclass,0.5895497646044692,0.627601428476702,0.32754078282254095,0.7123096089615719
9,6,Non-Uniform Entropy,marital-status,0.48455009614747035,0.46376234997676236,0.39365998242803735,0.48207811062647454
9,6,Non-Uniform Entropy,occupation,0.6104038193753729,0.6420024177134678,0.5816418102138328,0.6052902803311029
9,6,Non-Uniform Entropy,education,0.8556903830426783,0.8818712286983622,0.7656875477097201,0.8519224567698291
9,6,Non-Uniform Entropy,native-country,0.967011471387839,0.9759175452556375,0.7629332779442034,0.9702277186442846
9,6,Non-Uniform Entropy,age,0.9821961408394668,0.9951222991803911,0.9777346777253634,0.9976683650635315
9,7,Non-Uniform Entropy,sex,0.9312379815662092,0.9312379815662091,0.9245832078965579,0.9312379815662092
9,7,Non-Uniform Entropy,salary-class,0.8367150719448313,0.8367150719448313,0.7988208087579295,0.8367150719448313
9,7,Non-Uniform Entropy,race,0.8368808434453949,0.8368808434453704,0.624387116752275,0.8499760226448083
9,7,Non-Uniform Entropy,workclass,0.5666401432265764,0.6048196879706726,0.30436874983488416,0.6897571425732196
9,7,Non-Uniform Entropy,marital-status,0.4537497513427492,0.4322547134362633,0.36660016882280566,0.4491542500265959
9,7,Non-Uniform Entropy,occupation,0.5653637026722366,0.5991160553522537,0.5365209123973702,0.5626204101919061
9,7,Non-Uniform Entropy,education,0.8392016444532847,0.868958733947793,0.7417799049239002,0.8340137675453049
9,7,Non-Uniform Entropy,native-country,0.9627179895232412,0.971624892248543,0.7359332049511635,0.9671705482115671
9,7,Non-Uniform Entropy,age,0.9837461043697368,0.9957428539087633,0.9789313643160182,0.9980380104441441
9,8,Non-Uniform Entropy,sex,0.9261653736489622,0.9261653736489623,0.918789392969928,0.9261653736489622
9,8,Non-Uniform Entropy,salary-class,0.8226908029971487,0.8226908029971487,0.7821937631602796,0.8226908029971487
9,8,Non-Uniform Entropy,race,0.8305152178237517,0.8305152178237186,0.6127904747918684,0.8437546416340249
9,8,Non-Uniform Entropy,workclass,0.5440454876997547,0.5819337482357176,0.28062518492652,0.668100080230713
9,8,Non-Uniform Entropy,marital-status,0.4319673761686891,0.4115332758657959,0.3476414332407337,0.4265470997941163
9,8,Non-Uniform Entropy,occupation,0.5299383330017904,0.5618480716947645,0.5011798111895271,0.5281292784614231
