sex;salary-class;race;workclass;marital-status;occupation;education;native-country;age
Male;<=50K;White;*;*;Adm-clerical;Bachelors;United-States;39
Male;<=50K;White;Self-emp-not-inc;Married-civ-spouse;*;Bachelors;United-States;50
Male;<=50K;White;Private;spouse-not-present;Nontechnical;HS-grad;United-States;38
Male;<=50K;Black;Private;Married-civ-spouse;*;*;United-States;53
Female;<=50K;*;Private;*;Prof-specialty;Bachelors;*;28
Female;<=50K;White;*;*;*;Masters;United-States;37
Female;<=50K;*;Private;*;Other-service;*;*;49
Male;>50K;White;*;*;Exec-managerial;HS-grad;United-States;52
Female;>50K;White;*;*;Prof-specialty;*;United-States;31
Male;>50K;White;Private;Married-civ-spouse;Exec-managerial;Bachelors;United-States;42
Male;>50K;Black;Private;Married-civ-spouse;*;*;United-States;37
Male;>50K;*;*;Married-civ-spouse;Prof-specialty;Bachelors;*;30
Female;<=50K;White;Private;Never-married;Adm-clerical;Bachelors;United-States;23
Male;<=50K;Black;Private;Never-married;*;*;United-States;32
Male;<=50K;*;Private;Married-civ-spouse;*;*;Mexico;34
Male;<=50K;White;Self-emp-not-inc;*;*;HS-grad;United-States;25
Male;<=50K;White;Private;spouse-not-present;Machine-op-inspct;HS-grad;United-States;32
Male;<=50K;White;Private;*;*;11th;United-States;38
Female;>50K;White;*;*;*;Masters;United-States;43
Male;>50K;White;*;*;Prof-specialty;Doctorate;United-States;40
Female;<=50K;Black;*;*;*;*;United-States;54
Male;<=50K;Black;*;Married-civ-spouse;*;*;United-States;35
Male;<=50K;White;*;Married-civ-spouse;*;11th;United-States;43
Female;<=50K;White;Private;Divorced;*;HS-grad;United-States;59
Male;>50K;White;*;Married-civ-spouse;*;Bachelors;United-States;56
Male;<=50K;White;Private;Never-married;Craft-repair;HS-grad;United-States;19
Male;<=50K;White;Private;Divorced;*;HS-grad;United-States;39
Male;<=50K;White;Private;Married-civ-spouse;Craft-repair;HS-grad;United-States;49
Male;<=50K;White;*;Never-married;*;Assoc-acdm;United-States;23
Male;<=50K;Black;Private;*;*;Some-college;United-States;20
Male;<=50K;White;Private;*;*;Bachelors;United-States;45
Male;<=50K;White;*;*;Adm-clerical;Some-college;United-States;30
Male;<=50K;Black;*;*;*;Some-college;United-States;22
Male;<=50K;White;Private;Never-married;*;*;*;48
Male;<=50K;White;Private;Never-married;Technical;Some-college;United-States;21
Female;<=50K;White;Private;*;*;HS-grad;United-States;19
Male;<=50K;White;*;Married-civ-spouse;*;Assoc-acdm;United-States;48
Male;<=50K;White;*;*;*;9th;United-States;31
Male;<=50K;White;*;*;*;Bachelors;United-States;53
Male;<=50K;White;Private;Married-civ-spouse;*;Bachelors;United-States;24
Female;<=50K;White;Private;spouse-not-present;Adm-clerical;HS-grad;United-States;49
Male;<=50K;White;Private;Never-married;Handlers-cleaners;HS-grad;United-States;25
Male;>50K;Black;*;Married-civ-spouse;*;*;United-States;57
Male;<=50K;White;Private;Married-civ-spouse;Machine-op-inspct;HS-grad;United-States;53
Female;<=50K;White;*;*;*;Masters;United-States;44
Male;<=50K;White;*;Married-civ-spouse;*;Assoc-voc;United-States;41
Male;<=50K;White;Private;Never-married;Technical;Assoc-voc;United-States;29
Female;<=50K;*;Private;*;Exec-managerial;*;United-States;25
Female;>50K;White;Private;Married-civ-spouse;*;*;*;47
Male;>50K;White;*;*;Exec-managerial;Bachelors;United-States;50
Male;<=50K;White;*;Divorced;*;HS-grad;United-States;47
Male;>50K;White;Private;Married-civ-spouse;Technical;Some-college;United-States;43
Male;<=50K;White;Private;Married-civ-spouse;Machine-op-inspct;*;*;46
Male;<=50K;*;Private;Married-civ-spouse;Other-service;*;*;35
Male;<=50K;White;Private;Married-civ-spouse;Other;HS-grad;United-States;41
Male;<=50K;White;Private;Married-civ-spouse;Machine-op-inspct;HS-grad;United-States;30
Male;<=50K;White;Private;Married-civ-spouse;*;Bachelors;United-States;30
Male;<=50K;White;Private;Married-civ-spouse;Other;HS-grad;United-States;48
Male;>50K;White;Private;Married-civ-spouse;Prof-specialty;*;United-States;42
Male;<=50K;White;Private;*;*;Some-college;United-States;29
Male;<=50K;White;Private;Married-civ-spouse;Craft-repair;HS-grad;United-States;36
Female;<=50K;White;Private;Divorced;*;Some-college;United-States;28
Female;>50K;White;Private;*;*;*;United-States;53
Male;>50K;White;Self-emp-inc;Married-civ-spouse;*;Some-college;United-States;49
Male;<=50K;White;Private;Never-married;Technical;Some-college;United-States;19
Female;<=50K;Black;Private;*;Sales;*;United-States;31
Male;>50K;White;*;*;Sales;Bachelors;United-States;29
Male;<=50K;White;Private;Never-married;Technical;Some-college;United-States;23
Male;*;White;*;Married-civ-spouse;*;*;United-States;79
Male;<=50K;White;Private;Never-married;*;*;Mexico;27
Male;<=50K;White;*;Married-civ-spouse;*;Assoc-acdm;United-States;40
Female;<=50K;White;Private;Never-married;Other-service;11th;United-States;18
Male;<=50K;White;*;*;*;7th-8th;United-States;31
Male;<=50K;White;Private;*;*;HS-grad;United-States;18
Male;<=50K;White;*;Married-civ-spouse;*;Bachelors;*;52
Female;<=50K;White;Private;Married-civ-spouse;Other;HS-grad;United-States;46
Male;<=50K;White;Private;Married-civ-spouse;*;HS-grad;United-States;59
Female;>50K;White;*;*;*;HS-grad;United-States;44
Female;<=50K;White;Private;spouse-not-present;Sales;HS-grad;United-States;53
Male;>50K;White;*;Married-civ-spouse;*;HS-grad;United-States;49
Male;<=50K;White;Private;*;*;Masters;United-States;33
Male;<=50K;White;Private;Never-married;Sales;*;United-States;30
Female;>50K;White;*;*;Prof-specialty;*;United-States;43
Male;<=50K;White;*;Married-civ-spouse;Prof-specialty;*;United-States;57
Female;<=50K;White;Private;Divorced;*;Some-college;United-States;37
Female;<=50K;Black;*;*;*;Some-college;United-States;28
Male;>50K;White;*;Married-civ-spouse;*;Bachelors;United-States;34
Male;<=50K;White;*;Never-married;*;Some-college;United-States;29
Male;>50K;White;*;*;Prof-specialty;Doctorate;United-States;48
Male;>50K;White;Private;Married-civ-spouse;*;Some-college;United-States;37
Female;<=50K;White;Private;Divorced;Exec-managerial;*;*;48
Male;<=50K;Black;*;*;*;HS-grad;United-States;32
Male;*;White;Private;*;*;*;United-States;76
Male;>50K;White;Private;Married-civ-spouse;Exec-managerial;Bachelors;United-States;44
Female;<=50K;White;*;*;Prof-specialty;Masters;United-States;47
Female;<=50K;White;Private;Never-married;Tech-support;Some-college;United-States;20
