QIs,k,time,exp,method
9,2,400691,exp1,arx
9,3,573589,exp1,arx
9,4,584635,exp1,arx
9,5,786598,exp1,arx
9,6,726063,exp1,arx
9,7,706844,exp1,arx
9,8,669046,exp1,arx
9,9,645398,exp1,arx
9,10,627912,exp1,arx
9,2,1436655,exp2,arx
9,3,4242371,exp2,arx
9,4,4119386,exp2,arx
9,5,2857940,exp2,arx
9,6,2592077,exp2,arx
9,7,2301750,exp2,arx
9,8,2196931,exp2,arx
9,9,2085227,exp2,arx
9,10,1718919,exp2,arx
9,2,1199067,exp3,arx
9,3,1598826,exp3,arx
9,4,1550443,exp3,arx
9,5,1470985,exp3,arx
9,6,1391199,exp3,arx
9,7,1406705,exp3,arx
9,8,1419166,exp3,arx
9,9,1203257,exp3,arx
9,10,1139092,exp3,arx
9,2,1079123,exp4,arx
9,3,1415187,exp4,arx
9,4,1264998,exp4,arx
9,5,1176139,exp4,arx
9,6,1095100,exp4,arx
9,7,1010005,exp4,arx
9,8,1015633,exp4,arx
9,9,1037573,exp4,arx
9,10,909831,exp4,arx
9,2,505205,exp1,prioprivacy
9,3,710041,exp1,prioprivacy
9,4,839094,exp1,prioprivacy
9,5,861149,exp1,prioprivacy
9,6,916415,exp1,prioprivacy
9,7,1082130,exp1,prioprivacy
9,8,1117638,exp1,prioprivacy
9,9,1166307,exp1,prioprivacy
9,10,1188732,exp1,prioprivacy
9,2,775730,exp3,prioprivacy
9,3,1148998,exp3,prioprivacy
9,4,1240503,exp3,prioprivacy
9,5,1348545,exp3,prioprivacy
9,6,1511583,exp3,prioprivacy
9,7,1530141,exp3,prioprivacy
9,8,1559269,exp3,prioprivacy
9,9,1538226,exp3,prioprivacy
9,10,1458133,exp3,prioprivacy
9,2,703977,exp4,prioprivacy
9,3,1079340,exp4,prioprivacy
9,4,1165054,exp4,prioprivacy
9,5,1234034,exp4,prioprivacy
9,6,1459515,exp4,prioprivacy
9,7,1435511,exp4,prioprivacy
9,8,1494424,exp4,prioprivacy
9,9,1422113,exp4,prioprivacy
9,10,1459849,exp4,prioprivacy
9,2,2008790,exp2,prioprivacy
9,3,2311313,exp2,prioprivacy
9,4,2793342,exp2,prioprivacy
9,5,2774421,exp2,prioprivacy
9,6,2679995,exp2,prioprivacy
9,7,2511268,exp2,prioprivacy
9,8,2702243,exp2,prioprivacy
9,9,2941189,exp2,prioprivacy
9,10,2905338,exp2,prioprivacy
