k,gen. intensity,granularity,n.u. entropy,discernibility,avg. class size,record-level sp. err, attribute-level sq. err.,experiment,method
2,0.9528723903268032,0.9660347264430167,0.8707432970165956,0.9999801699780059,0.9999632544871943,0.637456678855082,0.36493888500407523,exp1,arx_nue
3,0.9286743560084189,0.9424029982615117,0.8110993571604598,0.9999492189613065,0.9999217055320344,0.6249622673728625,0.35745086256122105,exp1,arx_nue
4,0.913622610741502,0.9264347371646026,0.7765631897691978,0.9998153679618668,0.9998811038239812,0.6156488544372076,0.35113051884509106,exp1,arx_nue
5,0.902467109706351,0.9145023518477002,0.7514174860942346,0.9998437531025635,0.9998395905724103,0.6098668186340289,0.34841845596896914,exp1,arx_nue
6,0.8930374741826235,0.9044194444501983,0.7314926147841502,0.9996375650675757,0.9997973809087647,0.6035735631889902,0.3447347423786191,exp1,arx_nue
7,0.8861211187979968,0.8967941819129877,0.7151263013526048,0.9995633712348692,0.9997559990945097,0.6005041876738253,0.3441449071137721,exp1,arx_nue
8,0.8793861911112093,0.8888533960095027,0.7019189683074347,0.9995570334991558,0.9997159835317558,0.5977271369216781,0.3427527429299686,exp1,arx_nue
9,0.8736081333637862,0.8827739859186818,0.6899161502412694,0.9996165752344494,0.9996762037233607,0.5923728569058289,0.33895852415697403,exp1,arx_nue
10,0.8688428166911026,0.8779195729519014,0.6800174076543901,0.9993423640017174,0.9996345559036777,0.590374551566162,0.33883679333332917,exp1,arx_nue
2,0.9053131607836203,0.9214444269702059,0.8935361670166696,0.9999827666357257,0.9999659435328898,0.8424832545702953,0.9907691779798291,exp2,arx_nue
3,0.8438450883746289,0.8702119290380887,0.832666003718862,0.9998932973758315,0.9999313340014624,0.770586444053112,0.9845207235149317,exp2,arx_nue
4,0.8017836399492122,0.8354180329382599,0.791712123925945,0.999833608328034,0.9998963442168236,0.5314821085593255,0.36632606229434495,exp2,arx_nue
5,0.7711079307541739,0.8094026280507909,0.7624426298960251,0.9998388774984198,0.99986196004114,0.6938381252944988,0.9781527477827837,exp2,arx_nue
6,0.7461970789833658,0.7881990771950669,0.7390787579297026,0.9996764929464321,0.9998272479755855,0.6688243755957838,0.9762494030691861,exp2,arx_nue
7,0.7276159356757457,0.7730440325454273,0.7211822763654284,0.9997451064935393,0.9997923587039552,0.6503896180554178,0.9736413466804312,exp2,arx_nue
8,0.7100054765992034,0.7574604391321171,0.705665082684868,0.9995143755357764,0.9997572344582095,0.6318141798592504,0.9719185083587142,exp2,arx_nue
